date,name,rating
1972-02-01,R. Illingworth,9
1972-02-01,G. Boycott,4
1972-02-01,J.A. Snow,3
1972-03-01,J.H. Edrich,246
1972-03-01,I.M. Chappell,242
1972-03-01,K.D. Walters,229
1972-03-01,A.P.E. Knott,151
1972-03-01,W.M. Lawry,147
1972-03-01,G.S. Chappell,139
1972-03-01,B.L. D'Oliveira,134
1972-03-01,K.W.R. Fletcher,134
1972-03-01,A.A. Mallett,99
1972-03-01,G.D. McKenzie,95
1972-03-01,K.R. Stackpole,94
1972-03-01,A.N. Connolly,90
1972-03-01,I.R. Redpath,86
1972-03-01,A.L. Thomson,85
1972-03-01,J.H. Hampshire,65
1972-03-01,R.W. Marsh,60
1972-03-01,P. Lever,37
1972-03-01,K. Shuttleworth,24
1972-03-01,M.C. Cowdrey,11
1972-03-01,R. Illingworth,9
1972-03-01,G. Boycott,4
1972-03-01,J.A. Snow,3
1972-04-01,J.H. Edrich,246
1972-04-01,I.M. Chappell,242
1972-04-01,K.D. Walters,229
1972-04-01,A.P.E. Knott,151
1972-04-01,W.M. Lawry,147
1972-04-01,G.S. Chappell,139
1972-04-01,B.L. D'Oliveira,134
1972-04-01,K.W.R. Fletcher,134
1972-04-01,A.A. Mallett,99
1972-04-01,G.D. McKenzie,95
1972-04-01,K.R. Stackpole,94
1972-04-01,A.N. Connolly,90
1972-04-01,I.R. Redpath,86
1972-04-01,A.L. Thomson,85
1972-04-01,J.H. Hampshire,65
1972-04-01,R.W. Marsh,60
1972-04-01,P. Lever,37
1972-04-01,K. Shuttleworth,24
1972-04-01,M.C. Cowdrey,11
1972-04-01,R. Illingworth,9
1972-04-01,G. Boycott,4
1972-04-01,J.A. Snow,3
1972-05-01,J.H. Edrich,246
1972-05-01,I.M. Chappell,242
1972-05-01,K.D. Walters,229
1972-05-01,A.P.E. Knott,151
1972-05-01,W.M. Lawry,147
1972-05-01,G.S. Chappell,139
1972-05-01,B.L. D'Oliveira,134
1972-05-01,K.W.R. Fletcher,134
1972-05-01,A.A. Mallett,99
1972-05-01,G.D. McKenzie,95
1972-05-01,K.R. Stackpole,94
1972-05-01,A.N. Connolly,90
1972-05-01,I.R. Redpath,86
1972-05-01,A.L. Thomson,85
1972-05-01,J.H. Hampshire,65
1972-05-01,R.W. Marsh,60
1972-05-01,P. Lever,37
1972-05-01,K. Shuttleworth,24
1972-05-01,M.C. Cowdrey,11
1972-05-01,R. Illingworth,9
1972-05-01,G. Boycott,4
1972-05-01,J.A. Snow,3
1972-06-01,J.H. Edrich,246
1972-06-01,I.M. Chappell,242
1972-06-01,K.D. Walters,229
1972-06-01,A.P.E. Knott,151
1972-06-01,W.M. Lawry,147
